UNITID,PRGMOFR,CIPCODE1,XCIPTUI1,CIPTUIT1,XCIPSUP1,CIPSUPP1,XCIPLGT1,CIPLGTH1,PRGMSR1,XMTHCMP1,MTHCMP1,XWKCMP1,WKCMP1,XLNAYHR1,LNAYHR1,XLNAYWK1,LNAYWK1,XCHG1PY0,CHG1PY0,XCHG1PY1,CHG1PY1,XCHG1PY2,CHG1PY2,XCHG1PY3,CHG1PY3,XCHG4PY0,CHG4PY0,XCHG4PY1,CHG4PY1,XCHG4PY2,CHG4PY2,XCHG4PY3,CHG4PY3,XCHG5PY0,CHG5PY0,XCHG5PY1,CHG5PY1,XCHG5PY2,CHG5PY2,XCHG5PY3,CHG5PY3,XCHG6PY0,CHG6PY0,XCHG6PY1,CHG6PY1,XCHG6PY2,CHG6PY2,XCHG6PY3,CHG6PY3,XCHG7PY0,CHG7PY0,XCHG7PY1,CHG7PY1,XCHG7PY2,CHG7PY2,XCHG7PY3,CHG7PY3,XCHG8PY0,CHG8PY0,XCHG8PY1,CHG8PY1,XCHG8PY2,CHG8PY2,XCHG8PY3,CHG8PY3,XCHG9PY0,CHG9PY0,XCHG9PY1,CHG9PY1,XCHG9PY2,CHG9PY2,XCHG9PY3,CHG9PY3,CIPCODE2,XCIPTUI2,CIPTUIT2,XCIPSUP2,CIPSUPP2,XCIPLGT2,CIPLGTH2,PRGMSR2,XMTHCMP2,MTHCMP2,CIPCODE3,XCIPTUI3,CIPTUIT3,XCIPSUP3,CIPSUPP3,XCIPLGT3,CIPLGTH3,PRGMSR3,XMTHCMP3,MTHCMP3,CIPCODE4,XCIPTUI4,CIPTUIT4,XCIPSUP4,CIPSUPP4,XCIPLGT4,CIPLGTH4,PRGMSR4,XMTHCMP4,MTHCMP4,CIPCODE5,XCIPTUI5,CIPTUIT5,XCIPSUP5,CIPSUPP5,XCIPLGT5,CIPLGTH5,PRGMSR5,XMTHCMP5,MTHCMP5,CIPCODE6,XCIPTUI6,CIPTUIT6,XCIPSUP6,CIPSUPP6,XCIPLGT6,CIPLGTH6,PRGMSR6,XMTHCMP6,MTHCMP6 
103963,4,"48.0508","A",.,"A",.,"R",960,1,"R",10,"R",40,"R",900,"R",36,"R",18308,"R",19220,"R",19220,"R",19220,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8670,"R",8820,"R",9060,"R",9060,"R",9500,"R",9650,"R",9910,"R",10110,"R",9500,"R",9650,"R",9910,"R",10110,"47.0604","R",24000,"A",.,"R",1200,1,"R",13,"47.0605","R",24000,"A",.,"R",1000,1,"R",13,"47.0201","R",19220,"A",.,"R",800,1,"R",10,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
104090,26,"51.0713","A",.,"A",.,"R",28,2,"R",8,"R",32,"R",24,"R",30,"R",14650,"R",15400,"R",15400,"R",14500,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",9600,"R",9600,"R",9600,"R",9600,"R",8288,"R",8288,"R",8288,"R",8288,"R",7680,"R",7680,"R",7680,"R",7680,"51.0801","R",14500,"A",.,"R",28,2,"R",10,"51.3801","R",85000,"A",.,"R",122,2,"R",28,"51.0701","R",28000,"A",.,"R",60,2,"R",14,"51.1009","R",14500,"A",.,"R",28,2,"R",10,"52.0201","R",39900,"A",.,"R",120,2,"R",28,
104294,1,"12.0401","A",.,"A",.,"R",1600,1,"R",12,"R",46,"R",900,"R",26,"R",16100,"R",16900,"R",16000,"R",16000,"R",2250,"R",3200,"R",3200,"R",3200,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",10649,"R",10718,"R",11029,"R",11259,"R",5854,"R",5888,"R",6061,"R",6187,"R",3864,"R",3899,"R",4014,"R",4094,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
104391,2,"12.0401","A",.,"A",.,"R",1600,1,"R",12,"R",48,"R",900,"R",30,"R",10220,"R",10000,"R",11100,"R",11100,"R",1900,"R",1900,"R",2900,"R",2900,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7212,"R",6660,"R",8928,"R",8928,"R",4212,"R",3924,"R",5268,"R",5268,"R",2712,"R",2508,"R",3372,"R",3372,"51.3501","R",8400,"R",1600,"R",700,1,"R",6,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
104434,2,"12.0401","A",.,"A",.,"R",1600,1,"R",12,"R",46,"R",900,"R",26,"R",16000,"R",16000,"R",16000,"R",16000,"R",1500,"R",1500,"R",1550,"R",1550,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8085,"R",7820,"R",7786,"R",7889,"R",8763,"R",8809,"R",8786,"R",8545,"R",8763,"R",8809,"R",8786,"R",8545,"12.0413","R",4550,"R",300,"R",650,1,"R",5,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
104443,2,"12.0401","A",.,"A",.,"R",1600,1,"R",12,"R",46,"R",900,"R",26,"R",16000,"R",16000,"R",16000,"R",16672,"R",1500,"R",1500,"R",1550,"R",1550,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7418,"R",7165,"R",7084,"R",7165,"R",8039,"R",8085,"R",7981,"R",7763,"R",8039,"R",8085,"R",7981,"R",7763,"12.0413","R",4550,"R",300,"R",650,1,"R",5,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
104504,2,"51.3501","A",.,"A",.,"R",750,1,"R",8,"R",33,"R",900,"R",30,"R",11150,"R",11150,"R",11175,"R",11194,"R",920,"R",1395,"R",1405,"R",1327,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",6460,"R",6567,"R",6600,"R",6806,"R",5090,"R",4331,"R",3630,"R",3713,"R",5090,"R",4331,"R",2888,"R",3094,"51.3501","R",14456,"R",1419,"R",1000,1,"R",12,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
104568,3,"12.0401","A",.,"A",.,"R",1600,1,"R",14,"R",55,"R",900,"R",26,"R",14850,"R",15250,"R",16000,"R",16000,"R",1302,"R",1466,"R",1540,"R",1540,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",10931,"R",11275,"R",11275,"R",11275,"R",2929,"R",3025,"R",3025,"R",3025,"R",2929,"R",3025,"R",3025,"R",3025,"12.0413","R",3900,"R",810,"R",650,1,"R",6,"12.0410","R",5900,"R",995,"R",600,1,"R",5,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
104911,4,"12.0401","A",.,"A",.,"R",1600,1,"R",12,"R",48,"R",900,"R",30,"R",16020,"R",17995,"R",15495,"R",15495,"R",0,"R",0,"R",2500,"R",2500,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",9588,"R",11496,"R",13404,"R",13872,"R",6084,"R",6900,"R",7008,"R",7260,"R",3396,"R",3600,"R",4584,"R",4752,"12.0409","R",8795,"R",1200,"R",600,1,"R",5,"12.0410","R",8995,"R",1200,"R",600,1,"R",5,"12.0413","R",7995,"A",.,"R",650,1,"R",6,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
105118,4,"51.0801","A",.,"A",.,"R",41,2,"R",9,"R",36,"R",41,"R",30,"R",12060,"R",12060,"R",13125,"R",13125,"R",1201,"R",1201,"R",1201,"R",1201,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8667,"R",5616,"R",5544,"R",5607,"R",9387,"R",6327,"R",6255,"R",6084,"R",6507,"R",4365,"R",4365,"R",4185,"51.0808","R",35490,"R",1879,"R",118,2,"R",21,"51.0713","R",13125,"R",1201,"R",41,2,"R",9,"51.0908","R",34673,"R",4744,"R",133,2,"R",23,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
105215,10,"47.0611","A",.,"A",.,"R",73,2,"R",17,"R",66,"R",30,"R",30,"R",27650,"R",27950,"R",27950,"R",28900,"R",215,"R",215,"R",215,"R",215,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",14850,"R",15362,"R",14273,"R",11352,"R",16731,"R",17325,"R",12672,"R",10065,"R",11748,"R",11600,"R",8217,"R",6221,"47.0611","R",26300,"R",215,"R",69,2,"R",15,"47.0611","R",31450,"R",215,"R",83,2,"R",18,"47.0611","R",21100,"R",215,"R",55,2,"R",11,"47.0611","R",41800,"R",215,"R",111,2,"R",24,"47.0611","R",36750,"R",215,"R",94,2,"R",21,
